Proof_cut,Viscosity,Caliper,Ink_temperature,Humifity,Roughness,Blade_pressure,Varnish_pct,Press_speed,Ink_pct,Solvent_pct,Esa_voltage,Wax,Hardener,Roller_durometer_30,Roller_durometer_33,Roller_durometer_34,Roller_durometer_35,Roller_durometer_38,Roller_durometer_40,Density_35,Density_40,Anode_ratio,class,prob,sample
47,67,0.333,16,82,0.562,30,1.5,1900,50.5,34.3,0,2.5,1.1,0,1,0,0,0,0,0,1,103.125,noband,0.806,train
50,55,0.233,13.86,70,0.625,47,10.2,1635,51,38.8,0,3,1,0,0,0,0,0,1,0,1,100,noband,0.93,train
30,63,0.3,13,94,1,29,0,1800,56.2,43.8,0,2.5,1,1,0,0,0,0,0,0,1,110,band,0.156,train
50,60,0.267,13.6,86,1.125,28,0,1500,64.1,35.9,0,2.5,1,0,1,0,0,0,0,0,1,106.45,band,0.108,train
55,53,0.3,14.2,72,0.625,25,22.7,1750,45.5,31.8,1,2.4,0.9,0,0,1,0,0,0,0,1,103.125,band,0.304,test
35,56,0.3,15.3,80,0.75,20,0,1900,76.9,23.1,0,2.5,1.25,0,1,0,0,0,0,0,1,106.66,band,0.338,test
55,56,0.233,15,84,0.625,25,16.7,1850,52.1,31.3,4,2,0.6,0,0,1,0,0,0,0,1,103.125,band,0.314,test
55,49,0.2,15,78,0.625,20,17.1,1900,47.6,35.2,0,2.5,0.85,0,0,1,0,0,0,0,1,106.45,band,0.18,train
50,50,0.2,15.7,90,0.75,50,0,1420,62.5,37.5,0,3,1.35,0,0,0,0,0,1,0,1,106.45,noband,0.824,train
50,50,0.2,15.5,74,0.75,58,4.8,1420,59.5,35.7,3,3,1,0,0,0,0,0,1,0,1,106.45,noband,0.88,train
35,56,0.233,16,82,0.562,28,5.6,2100,56.2,38.2,0,1.7,0.4,1,0,0,0,0,0,0,1,103.125,noband,0.95,train
35,56,0.2,15,80,0.812,40,8.6,2100,53.8,37.6,8,1.7,1,1,0,0,0,0,0,0,1,100,noband,0.836,test
40,50,0.2,16,68,0.812,30,0,2400,58.8,41.2,8,2.5,1.5,0,1,0,0,0,0,0,1,103.125,noband,0.978,train
40,50,0.233,16,70,0.562,30,0,2400,58.8,41.2,8,1.5,0.5,0,1,0,0,0,0,0,1,103.125,noband,0.986,train
40,54,0.2,15.8,76,0.5,38,5.6,1736,55.6,38.9,0,2.5,1.5,0,0,0,1,0,0,0,1,103.125,noband,0.954,train
40,54,0.2,15.4,78,0.5,34,5.7,1736,56.8,36.9,0,2.5,1.1,0,0,0,1,0,0,0,1,103.125,noband,0.922,train
55,45,0.267,15.5,79,0.625,20,16.7,1850,54.3,34.3,4,2.5,1,0,0,1,0,0,0,0,1,100,noband,0.376,test
52,64,0.4,15.5,82,0.625,30,0,1800,71.4,28.6,4,2.5,0.9,0,0,1,0,0,0,0,1,103.125,band,0.086,train
40,56,0.233,16.5,79,0.5,28,0,2300,60.2,39.8,0,2.5,1.5,1,0,0,0,0,0,0,1,106.45,band,0.922,test
45,54,0.333,15.5,76,0.812,30,5.6,2250,55.6,38.9,2,2.5,1.3,1,0,0,0,0,0,0,1,106.45,noband,0.992,test
47.5,68,0.4,16,80,0.75,30,0,2250,58.8,41.2,0,1.5,1,0,0,0,1,0,0,0,1,106.45,noband,0.89,test
47.5,68,0.35,16,80,0.75,30,0,2250,52.1,47.9,0,1.5,0.75,0,0,0,1,0,0,0,1,106.45,noband,0.944,train
45,54,0.367,15.5,74,0.562,40,10.5,2250,52.6,36.8,2,2.5,1.8,1,0,0,0,0,0,0,1,106.45,noband,0.746,test
37.5,70,0.333,14.9,64,0.75,28,3.4,1500,57.5,39.1,0,2.5,1,0,0,0,0,0,1,0,1,106.89,noband,0.35,test
37.5,70,0.4,15,65,0.75,25,5.4,1500,54.3,40.2,0,2.3,0.9,0,0,0,0,0,1,0,1,106.66,noband,0.406,test
47.5,60,0.4,14.5,74,0.812,20,8.6,1600,53.8,37.6,0,2,1.5,0,0,0,1,0,0,0,1,110,noband,0.846,train
40,62,0.3,16,84,0.938,28,0,2200,58.8,41.2,4,2.5,0.6,1,0,0,0,0,0,0,1,106.45,noband,0.92,train
40,62,0.267,16,84,0.938,32,0,2200,58.8,41.2,4,1.4,1,1,0,0,0,0,0,0,1,106.45,noband,0.828,test
40,64,0.2,15.5,85,1,26,0,2400,58.8,41.2,0,2.5,1,1,0,0,0,0,0,0,1,103.125,noband,0.882,train
40,64,0.233,15,82,0.75,31,0,2400,60,40,3,2.5,1,1,0,0,0,0,0,0,1,106.66,noband,0.842,train
50,69,0.367,17,82,0.75,50,0,1700,62.5,37.5,0,3,1,0,0,0,0,0,1,0,1,106.45,band,0.404,test
50,60,0.4,16,76,0.562,28,5.6,1600,55.6,38.9,0,1,0.5,0,0,0,1,0,0,0,1,110,noband,0.864,train
50,62,0.4,15.4,98,0.75,25,10.6,1750,48.1,41.3,0,2.8,1.3,0,1,0,0,0,0,0,1,110,noband,0.868,train
50,62,0.4,14.9,96,0.75,26,11,1950,50,39,0,2.8,0.8,0,1,0,0,0,0,0,1,110,noband,0.88,train
35,68,0.4,15.1,90,0.875,30,6,1500,59.5,34.5,1,2.5,1,0,0,0,1,0,0,0,1,106.89,band,0.148,train
32.5,56,0.367,15.03,79,0.312,28,5.3,2244,52.6,42.1,0,1.8,0.5,1,0,0,0,0,0,0,1,106.45,noband,0.96,train
40,56,0.3,17,82,0.75,30,0,2550,52.6,47.4,0,2,1,0,1,0,0,0,0,0,1,103.22,noband,0.952,train
30,56,0.283,17,72,0.75,30,0,2550,52.6,47.4,0,2,1,0,1,0,0,0,0,0,1,103.22,noband,0.946,train
30,69,0.3,16,98,0.75,35,0,2050,62.5,37.5,0,2.75,1,0,1,0,0,0,0,0,1,100,noband,0.836,train
45,69,0.267,15.6,72,0.75,21,5.6,2426,55.6,38.9,0,2.85,1.1,1,0,0,0,0,0,0,1,103.22,noband,0.962,train
45,69,0.267,16.1,76,0.75,22,5.6,2426,55.6,38.9,0,2.7,0.7,1,0,0,0,0,0,0,1,103.22,noband,0.958,test
32.5,69,0.2,15.5,94,0.75,30,0.5,2050,52.6,42.1,0,2.5,1,0,1,0,0,0,0,0,1,100,noband,0.888,train
45,65,0.3,16.3,78,0.75,32,3.4,1700,56.8,39.8,4,2.5,1,0,0,1,0,0,0,0,1,106.45,band,0.256,test
40,68,0.3,14,88,0.75,32,0,1742,60,40,3,2.5,1,0,0,0,0,0,1,0,1,103.125,band,0.15,train
40,64,0.2,16.5,82,0.562,30,2.3,1900,57.5,40.2,0,1.3,0.8,1,0,0,0,0,0,0,1,106.45,band,0.676,test
40,65,0.267,16.2,79,0.625,30,0,1500,62.5,37.5,4,2.5,1,0,0,0,0,1,0,0,1,106.45,band,0.11,train
35,62,0.4,14.5,94,1,35,0,1900,63.3,36.7,0,2.5,1,0,0,0,1,0,0,0,1,106.89,band,0.184,train
42.5,58,0.4,15,76,1,20,5.4,2000,54.3,40.2,0,2.5,1,0,0,0,1,0,0,0,1,103.33,band,0.736,test
40,64,0.233,15.4,88,0.562,24,4.4,1835,55.5,40,2,2,1.3,1,0,0,0,0,0,0,1,106.45,noband,0.832,train
40,64,0.2,16,76,0.812,23,4.8,1835,59.5,35.7,3,2,0.7,1,0,0,0,0,0,0,1,106.45,noband,0.586,test
47.5,63,0.3,16.4,84,0.5,27,20.7,1800,41.3,38,5,2.6,0.3,0,0,0,0,0,1,0,0,96.7,band,0.21,train
50,50,0.3,14.5,84,0.25,24,20.7,1500,41.3,38,0,3,0.6,0,0,0,0,0,1,0,0,103.3,band,0.238,train
52,54,0.5,16,82,0.875,22,15.8,900,49.5,34.7,0,2.5,1,0,0,0,0,0,0,0,1,96.7,band,0.332,test
40,41,0.233,14,79,0.75,20,0,1530,61.7,38.3,5,3.1,1.8,0,1,0,0,0,0,0,0,96.9,noband,0.878,train
45,42,0.233,15,76,0.75,30,0,2220,58.8,41.2,0,2.5,1,1,0,0,0,0,0,1,0,100,noband,0.956,train
45,42,0.233,16,84,0.625,28,0,2220,54.3,45.7,0,2.5,1,1,0,0,0,0,0,1,0,100,noband,0.886,test
55,54,0.267,15,70,0.625,60,3.4,1600,56.8,39.8,0,1,0.4,0,0,0,0,0,0,0,1,103.3,noband,0.86,train
57.5,54,0.267,15.5,80,0.625,55,0,1600,62.5,37.5,0,3,0.5,0,0,0,0,0,0,0,1,103.3,noband,0.948,train
40,38,0.3,16,92,0.625,25,1.1,1900,53.8,45.2,0,2.5,1,1,0,0,0,0,0,0,0,100,noband,0.75,train
50,60,0.3,14,75,0.625,33,0,2000,65.2,34.8,0,0,0,0,0,0,1,0,0,0,1,96.9,band,0.11,train
45,49,0.2,16,72,0.375,38,15,1650,50,35,0,2.5,0.2,0,0,0,0,1,0,0,0,96.9,band,0.196,train
47.5,41,0.333,18,74,0.5,30,17.7,1900,44.2,38.1,2,2.5,1,0,0,0,0,0,1,0,0,100,band,0.188,train
47.5,52,0.267,14.3,98,0.75,55,11.7,1600,53.2,35.1,0,3,1,0,0,0,0,0,1,0,0,100,band,0.738,test
37.5,54,0.3,14.5,80,1,20,10.9,2400,54.3,34.8,0,2.5,0.4,1,0,0,0,0,0,0,1,103.3,noband,0.918,train
45,55,0.3,15,75,0.75,25,0,2300,59.8,40.2,0,2,2.3,1,0,0,0,0,0,0,0,96.6,noband,0.936,train
40,48,0.3,15,82,1,35,0,1720,59.3,40.7,0,1.5,1.5,0,0,0,0,0,0,0,0,100,noband,0.546,test
40,48,0.333,15,75,1,30,0,1720,61.7,38.3,0,2.5,3,0,1,0,0,0,0,0,0,103.2,noband,0.522,test
50,52,0.2,14,80,0.75,60,4.4,1700,54.9,40.7,0,2.5,1,0,0,0,0,0,1,0,0,100,band,0.754,test
72.5,54,0.2,14.5,82,0.75,50,2.2,1900,56.7,41.6,0,3,0.9,0,0,0,0,0,1,0,0,100,noband,0.876,train
60,50,0.3,15,72,0.75,30,15.9,1700,44.2,39.8,1,3,0.5,0,0,0,0,0,1,0,0,100,band,0.282,train
50,48,0.233,15.5,68,0.812,30,0,1900,57.4,42.6,10,1.5,1,1,0,0,0,0,0,0,0,100,noband,0.842,train
40,54,0.233,15,80,0.75,28,0,1800,58.8,41.2,0,2.5,1.2,1,0,0,0,0,0,0,0,100,noband,0.802,train
40,54,0.3,15,88,0.75,28,0,1800,58.8,41.2,0,2.5,1.2,1,0,0,0,0,0,0,0,100,noband,0.69,test
52.5,62,0.433,14.5,95,0.75,20,0,1950,58.8,41.2,0,2,1,0,0,0,0,1,0,1,0,100,band,0.5,test
50,56,0.2,14.3,105,0.75,70,0,1600,55.5,44.5,0,3,1,0,0,0,0,0,0,1,0,100,band,0.25,train
30,58,0.433,15.9,81,0.625,30,0,2150,62.5,37.5,10,2.5,1,1,0,0,0,0,0,1,0,90,noband,0.846,test
30,58,0.333,16.3,78,0.625,30,0,2150,58.8,41.2,10,2.5,1,1,0,0,0,0,0,1,0,90,noband,0.922,train
30,51,0.3,16,70,0.812,20,0,2250,58.8,41.2,0,1.5,0.6,1,0,0,0,0,0,1,0,103.3,noband,0.986,test
30,51,0.333,16,76,0.875,25,19.1,2250,42.7,38.2,3,1.2,0.5,1,0,0,0,0,0,1,0,103.3,noband,0.96,train
30,58,0.467,15,98,0.75,30,0,2300,58.8,41.2,6,2.25,1,1,0,0,0,0,0,1,0,100,noband,0.932,test
30,58,0.467,15,96,0.75,30,0,2300,58.8,41.2,6,3,0.75,1,0,0,0,0,0,1,0,100,noband,0.946,train
52.5,54,0.433,16.3,90,0.75,38,0,1800,62.5,38.5,0,2.9,1.1,0,1,0,0,0,0,1,0,100,noband,0.722,test
55.5,54,0.233,15,82,0.75,38,0,1800,58.8,41.2,0,2,1,0,1,0,0,0,0,1,0,100,noband,0.906,train
50,59,0.367,13,92,0.625,49,0,1300,58.8,41.2,0,3,1.1,0,0,0,0,0,1,1,0,100,band,0.448,test
57.5,55,0.333,14,86,0.75,30,13,1700,50,37,0,2.9,0.9,0,0,1,0,0,0,1,0,100,noband,0.816,train
55,55,0.3,13,86,0.75,28,13.7,1700,49,37.3,0,3,0.8,0,0,1,0,0,0,1,0,100,noband,0.644,test
55,49,0.233,15.6,80,1,30,35.8,1950,41.7,22.5,1,2.7,1,0,0,0,0,0,1,0,0,100,band,0.258,train
65,49,0.333,13.5,82,0.625,30,0,1350,68.2,31.8,1,2.5,1,0,0,0,0,1,0,0,0,103.2,band,0.102,train
65,65,0.4,14,100,0.75,40,7,1200,58.1,34.9,0,2.5,1,0,0,0,0,0,1,1,0,100,band,0.38,test
65,58,0.4,15,74,0.625,32,0,1800,57.5,42.5,1,2.5,1,0,0,0,0,1,0,0,0,103.2,band,0.16,train
50,58,0.333,15.5,75,0.812,24,0,2200,58.8,41.2,0,1.5,0.6,1,0,0,0,0,0,0,0,100,noband,0.978,train
62.5,47,0.167,17,75,0.75,30,14.3,1700,47.6,38.1,0,3,0.5,0,0,0,0,0,1,0,1,96.9,band,0.436,test
40,47,0.2,15,75,0.75,25,0,2100,61.1,38.9,0,2.4,1.1,0,1,0,0,0,0,0,1,96.9,noband,0.806,test
45,47,0.2,14,80,0.75,20,18,1800,45,37,0,2.5,0.8,0,0,0,0,0,1,0,1,96.9,noband,0.826,train
60,58,0.333,15.1,93,1,25,0,1650,56.1,33.9,0,2.5,1,0,0,0,0,0,1,1,0,100,band,0.61,test
50,58,0.367,13.5,100,0.75,35,0,1750,55.5,44.5,3,2.7,0.5,0,0,0,0,0,1,1,0,100,band,0.216,train
37.5,56,0.3,14,82,0.625,28,0,1700,58.8,41.2,2,2.5,0.5,0,0,0,0,0,1,1,0,100,noband,0.814,train
45,55,0.2,14,73,0.75,30,0,2100,61.1,38.9,0,2.5,0.8,0,1,0,0,0,0,0,1,96.8,band,0.786,test
30,56,0.2,14.7,87,0.875,20,0,2150,58.8,41.2,12,1.5,0.6,1,0,0,0,0,0,0,1,96.8,noband,0.922,train
40,56,0.333,15.3,86,0.812,32,0,2150,58.8,41.2,12,2.2,0.8,1,0,0,0,0,0,1,0,100,noband,0.866,test
60,56,0.3,16,87,0.625,26,10.5,1450,50.5,39,3,3,1.3,0,0,0,0,0,1,0,1,93.75,band,0.254,train
60,53,0.3,18,103,0.625,50,22.1,1600,41,36.9,0,3,0.7,0,0,0,0,0,1,1,0,105.2,noband,0.698,test
57.5,53,0.367,14.5,70,0.625,58,20.2,1600,42,37.8,3,3,1,0,0,0,0,0,1,1,0,105.2,noband,0.93,train
62.5,61,0.3,14,85,0.75,50,3.5,1660,56.8,39.7,2,3,1,0,0,0,0,0,0,0,1,93.75,noband,0.848,train
65,61,0.367,14.8,80,0.375,45,19.5,1660,42.4,38.1,0,3,1,0,0,0,0,0,0,1,0,105.2,noband,0.902,train
45,61,0.4,14,78,0.75,20,25.6,2100,42.7,31.7,0,2.5,0.8,1,0,0,0,0,0,1,0,105.2,noband,0.916,train
50,61,0.333,13.1,70,0.75,25,21.7,2100,41.7,36.6,5,2.5,0.8,1,0,0,0,0,0,1,0,105.2,noband,0.93,train
32.5,54,0.267,15.5,78,1,25,0,1900,58.8,41.2,10,2.5,0.5,1,0,0,0,0,0,1,0,93.3,noband,0.942,train
32.5,54,0.5,15.5,78,1,25,0,1900,58.8,41.2,10,1.4,0.8,1,0,0,0,0,0,1,0,103.2,noband,0.744,test
40,54,0.2,15,72,0.75,35,0,2500,58.5,41.5,0,2.1,1.1,1,0,0,0,0,0,0,1,100,noband,0.718,test
40,54,0.367,15,78,0.75,20,0,2500,61.1,38.9,0,2.5,0.7,1,0,0,0,0,0,0,1,100,noband,0.956,train
