Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Rawah_Wilderness_Area_1,Comanche_Peak_Wilderness_Area_1,Cache_la_Poudre_Wilderness_Area_1,Soil_Type_10_1,Soil_Type_12_1,Soil_Type_22_1,Soil_Type_23_1,Soil_Type_29_1,Soil_Type_30_1,Soil_Type_32_1,Soil_Type_33_1,dup_Elevation,dup_Aspect,dup_Slope,dup_Horizontal_Distance_To_Hydrology,dup_Vertical_Distance_To_Hydrology,dup_Horizontal_Distance_To_Roadways,dup_Hillshade_9am,dup_Hillshade_Noon,dup_Hillshade_3pm,dup_Horizontal_Distance_To_Fire_Points,dup_Rawah_Wilderness_Area_1,dup_Comanche_Peak_Wilderness_Area_1,dup_Cache_la_Poudre_Wilderness_Area_1,dup_Soil_Type_10_1,dup_Soil_Type_12_1,dup_Soil_Type_22_1,dup_Soil_Type_23_1,dup_Soil_Type_29_1,dup_Soil_Type_30_1,dup_Soil_Type_32_1,dup_Soil_Type_33_1,class,prob,sample
739,255,182,136,267,499,940,869,433,374,0,1,0,0,0,0,0,0,0,0,0,716,594,151,279,310,473,830,983,684,269,1,0,0,0,0,0,0,1,0,0,0,-1,7.14124270140036e-9,train
691,222,242,86,207,155,940,826,382,423,0,0,0,0,0,0,1,0,0,0,0,600,930,61,357,360,108,830,920,637,123,0,0,0,0,0,1,0,0,0,0,0,-1,1.9560556766945223e-9,train
484,727,242,96,203,283,708,968,806,160,0,1,0,0,0,0,0,0,0,0,1,751,261,136,61,228,340,924,889,480,163,0,1,0,0,0,0,0,0,0,0,0,-1,2.5562998670253963e-7,train
764,955,151,645,400,163,783,881,641,271,0,1,0,0,0,0,0,0,0,0,0,656,874,182,86,254,197,735,905,720,322,1,0,0,0,0,0,0,1,0,0,0,-1,1.6802197525863613e-9,test
591,622,212,349,316,774,794,991,728,140,1,0,0,0,0,0,0,1,0,0,0,400,86,212,0,223,201,850,822,496,255,0,1,0,0,0,0,0,0,0,0,0,-1,2.2843409173554795e-5,test
293,208,484,156,334,86,940,645,122,92,0,1,0,1,0,0,0,0,0,0,0,692,899,303,150,250,89,657,846,735,164,0,0,0,0,0,0,0,0,0,0,1,-1,3.834706509965489e-6,train
721,849,227,425,320,637,700,909,755,150,0,1,0,0,0,0,0,0,0,0,0,692,416,272,150,267,307,944,932,472,247,0,1,0,0,0,0,0,0,0,1,0,-1,2.471683094237627e-6,train
667,430,227,77,267,158,932,944,507,216,1,0,0,0,0,0,0,1,0,0,0,718,430,167,261,324,452,916,948,547,290,1,0,0,0,0,0,0,1,0,0,0,-1,2.0850413827533373e-11,test
503,394,318,508,336,315,964,905,401,235,0,1,0,0,0,0,0,0,0,0,0,483,250,303,192,314,441,968,806,315,209,0,1,0,1,0,0,0,0,0,0,0,-1,0.07571099282208181,train
603,808,167,0,223,211,747,936,739,240,0,1,0,0,0,0,0,0,0,0,0,666,191,91,21,225,707,889,897,535,253,1,0,0,0,0,0,1,0,0,0,0,-1,5.115003679742553e-9,train
608,247,303,183,306,454,968,798,303,103,0,1,0,0,0,0,0,0,0,0,1,636,977,197,152,262,434,771,853,621,331,0,1,0,0,0,0,0,0,0,0,0,-1,1.914278715363595e-7,test
582,594,167,506,376,804,826,983,692,439,1,0,0,0,0,0,0,1,0,0,0,725,130,136,352,336,630,881,865,511,268,0,1,0,0,0,1,0,0,0,0,0,-1,9.022043363708071e-8,test
657,133,91,21,219,309,877,893,551,112,1,0,0,0,0,0,1,0,0,0,0,540,344,30,21,223,186,873,932,594,65,0,1,0,0,0,0,1,0,0,0,0,-1,1.1781464628035066e-9,test
682,475,151,136,262,452,893,964,586,168,0,1,0,0,0,0,0,0,0,1,0,681,466,439,150,247,348,897,928,464,446,1,0,0,0,0,0,0,1,0,0,0,-1,8.609414337470762e-10,test
530,586,91,116,262,288,850,964,653,116,0,1,0,0,0,0,0,0,0,1,0,567,100,227,43,223,218,857,806,468,175,0,1,0,0,0,0,0,0,0,0,0,-1,7.147065978382563e-6,train
454,230,91,250,235,368,901,905,531,820,1,0,0,0,1,0,0,0,0,0,0,652,941,257,122,268,171,712,838,669,63,0,1,0,0,0,0,0,0,0,0,0,-1,3.912070521546367e-7,train
777,175,61,232,307,124,881,909,562,130,0,0,0,0,0,0,0,0,0,0,0,507,103,212,137,247,506,861,814,476,808,1,0,0,0,0,0,0,1,0,0,0,-1,7.149924083790575e-10,test
544,577,303,144,280,165,794,999,708,67,0,1,0,0,0,0,0,0,0,0,1,656,325,45,410,303,45,885,928,574,405,0,1,0,0,0,0,0,0,0,0,0,-1,2.136339725138273e-6,train
313,624,45,0,223,131,846,952,649,175,0,1,0,0,0,0,0,0,0,0,0,540,735,167,298,279,780,751,964,759,759,1,0,0,0,0,0,0,1,0,0,0,-1,1.882750311758977e-4,test
720,50,151,107,254,817,834,857,558,88,1,0,0,0,0,0,0,0,0,0,0,540,53,242,346,321,381,814,802,515,264,1,0,0,0,0,0,0,1,0,0,0,-1,6.814994338489162e-10,test
541,250,61,0,223,295,889,916,562,232,1,0,0,0,0,0,0,1,0,0,0,546,921,348,275,389,57,633,806,704,197,1,0,0,0,0,0,0,0,1,0,0,-1,1.0087513991849085e-9,train
557,33,151,48,231,123,826,861,574,299,1,0,0,0,0,0,0,1,0,0,0,551,930,167,77,239,224,771,889,665,472,1,0,0,0,0,0,1,0,0,0,0,-1,8.008807291968804e-11,test
700,3,212,122,259,71,783,834,590,172,0,0,0,0,0,0,0,0,0,1,0,649,447,167,198,256,51,909,956,558,690,0,0,0,0,0,1,0,0,0,0,0,-1,1.1306434650915042e-10,train
254,158,242,0,223,107,901,798,401,155,0,0,1,1,0,0,0,0,0,0,0,578,885,227,215,290,89,712,889,724,129,0,0,0,0,0,1,0,0,0,0,0,-1,6.165963966867858e-4,test
531,161,136,242,294,260,893,869,503,358,0,1,0,0,0,0,0,0,0,1,0,479,67,121,30,222,207,850,881,566,344,1,0,0,0,0,0,0,1,0,0,0,-1,3.9899888303940353e-7,train
587,655,182,192,216,801,779,987,743,381,1,0,0,0,0,0,0,1,0,0,0,683,172,136,258,303,336,897,869,492,190,0,1,0,0,0,0,0,0,0,1,0,-1,9.812789031695102e-8,train
530,405,30,107,228,114,869,936,602,293,1,0,0,0,0,0,1,0,0,0,0,547,796,227,130,196,158,696,936,787,126,0,1,0,0,0,0,0,0,0,1,0,-1,3.965887587109711e-8,test
350,494,288,64,241,236,885,971,578,226,0,1,0,0,0,0,0,0,0,0,0,169,191,560,258,436,101,905,555,0,105,0,0,1,0,0,0,0,0,0,0,0,1,0.9835033110137248,test
115,255,424,21,239,167,983,724,0,66,0,0,1,0,0,0,0,0,0,0,0,493,833,303,202,328,346,633,897,810,161,0,1,0,0,0,0,0,0,0,0,0,-1,0.8157830831144831,train
700,300,136,163,257,227,932,901,484,287,0,1,0,0,0,0,0,0,0,1,0,357,794,182,64,257,185,735,940,755,248,0,1,0,0,0,0,0,0,0,0,0,-1,3.605255796952819e-5,test
693,674,106,489,355,298,814,968,692,281,0,1,0,0,0,0,0,0,0,0,0,525,574,469,116,319,113,716,983,720,62,0,1,0,0,0,0,0,0,0,0,0,-1,3.957069818835138e-4,test
675,364,257,109,278,432,968,897,409,150,0,1,0,0,0,0,0,0,0,1,0,591,236,212,167,265,588,940,850,409,358,1,0,0,0,0,0,0,1,0,0,0,-1,3.939172708681399e-9,test
468,486,136,307,272,269,885,964,602,281,0,1,0,0,0,0,0,0,0,0,0,713,913,454,107,289,362,527,743,732,377,1,0,0,0,0,0,0,0,0,0,0,-1,1.235870799720974e-7,test
547,314,318,21,217,59,987,842,319,228,1,0,0,0,0,0,0,1,0,0,0,715,591,167,413,305,599,826,987,688,282,1,0,0,0,0,0,1,0,0,0,0,-1,6.807885869726559e-11,test
590,136,136,68,236,227,881,865,511,147,0,1,0,0,0,0,0,0,0,0,0,598,183,257,21,240,269,920,798,374,256,1,0,0,0,0,0,0,0,1,0,0,-1,7.83329478320824e-8,test
540,882,227,77,256,513,708,889,728,196,1,0,0,0,0,0,0,1,0,0,0,422,555,91,0,223,537,857,964,641,298,0,1,0,0,0,0,0,0,0,0,0,-1,1.3087531506697062e-5,train
335,83,136,107,272,21,857,865,539,73,0,0,1,0,0,0,0,0,0,0,0,738,175,30,429,275,125,869,920,590,200,0,1,0,0,0,0,0,0,0,1,0,-1,2.0456253170915548e-4,test
541,325,121,195,259,514,920,916,515,593,1,0,0,0,1,0,0,0,0,0,0,609,269,318,228,308,448,979,806,291,267,0,1,0,0,0,0,0,0,0,0,0,-1,7.15879438819951e-7,test
561,450,151,380,307,776,905,956,566,378,1,0,0,0,0,0,0,0,1,0,0,656,833,257,0,223,577,665,909,791,177,0,1,0,0,0,1,0,0,0,0,0,-1,1.3268914080838128e-7,test
633,241,303,21,239,112,964,798,311,234,1,0,0,0,0,0,0,0,1,0,0,721,191,212,298,337,115,920,830,417,155,0,1,0,0,0,0,0,0,0,0,0,-1,7.296753900091566e-9,test
631,364,76,219,263,211,897,932,562,481,0,1,0,0,0,0,0,0,0,0,0,637,286,136,269,244,781,924,901,492,110,1,0,0,0,0,0,0,1,0,0,0,-1,1.5397691680378227e-7,test
93,844,333,21,241,68,606,877,814,92,0,0,1,1,0,0,0,0,0,0,0,125,350,469,250,283,60,995,798,208,126,0,0,1,0,0,0,0,0,0,0,0,1,0.9998892731997817,train
568,574,136,250,356,743,842,975,665,135,1,0,0,0,0,0,0,0,1,0,0,644,516,378,77,250,379,846,975,602,163,0,1,0,0,0,0,0,0,0,0,1,-1,6.194646906438082e-8,test
685,241,212,177,197,128,944,850,409,403,0,0,0,0,0,0,1,0,0,0,0,657,488,61,192,254,145,869,948,614,284,0,0,0,0,0,0,1,0,0,0,0,-1,2.634366832618145e-10,test
303,469,151,152,263,85,897,960,582,190,0,0,1,0,0,0,0,0,0,0,0,688,810,303,280,457,441,633,912,826,436,0,1,0,0,0,0,0,0,0,0,0,-1,0.003449477704215157,train
496,42,257,91,258,313,794,791,523,234,0,1,0,0,0,0,0,0,0,0,1,472,230,257,61,231,420,948,822,366,27,0,1,0,0,0,0,0,0,0,0,1,-1,1.979945045383937e-6,test
95,211,484,30,249,34,944,641,114,60,0,0,1,0,0,0,0,0,0,0,0,618,53,303,649,515,376,791,759,484,289,0,1,0,0,0,0,0,0,0,0,0,-1,0.538488909586333,test
388,383,272,30,240,174,960,909,429,110,0,1,0,0,0,0,0,0,0,0,0,260,833,363,96,278,194,578,873,834,115,0,0,1,1,0,0,0,0,0,0,0,1,0.6692267325802492,test
501,211,106,0,223,483,901,893,515,690,1,0,0,0,0,0,0,0,0,0,0,674,147,212,347,308,409,893,822,441,605,1,0,0,0,0,0,0,0,0,0,0,-1,1.7895827264792357e-8,test
621,749,76,43,228,769,814,948,680,421,1,0,0,0,0,0,1,0,0,0,0,591,64,318,519,577,260,798,751,460,302,0,1,0,0,0,0,0,0,0,0,1,-1,4.270867626250011e-9,test
441,777,242,43,227,197,680,944,810,328,1,0,0,0,0,0,0,1,0,0,0,472,946,363,61,231,186,637,771,665,227,0,1,0,0,0,0,0,0,0,0,0,-1,2.4126119834679653e-6,train
477,314,121,173,287,353,920,912,507,353,1,0,0,0,1,0,0,0,0,0,0,534,286,136,122,244,473,928,897,480,176,1,0,0,0,0,0,0,1,0,0,0,-1,1.9518776559474396e-8,test
625,780,76,48,230,220,810,944,680,312,0,1,0,0,0,0,1,0,0,0,0,455,694,212,173,319,132,739,979,779,270,0,1,0,0,0,0,0,0,0,0,0,-1,3.683295352729528e-5,test
512,347,318,77,271,291,983,865,342,182,0,1,0,0,0,0,0,0,0,0,0,475,180,151,43,217,267,905,869,484,343,0,1,0,0,0,0,0,0,0,0,0,-1,0.009488657459488811,train
655,75,333,215,348,465,806,732,429,218,0,1,0,0,0,0,0,0,0,0,0,667,541,76,322,235,153,861,960,633,272,0,1,0,0,0,0,0,0,0,1,0,-1,5.533128766782444e-6,test
520,844,76,125,258,592,810,932,673,824,1,0,0,0,0,0,0,1,0,0,0,672,710,61,269,266,846,826,952,669,276,1,0,0,0,0,1,0,0,0,0,0,-1,1.5829898913971387e-9,test
397,225,257,21,216,165,948,818,366,281,1,0,0,0,0,0,0,1,0,0,0,540,111,167,251,241,236,869,846,500,159,1,0,0,0,0,0,0,0,1,0,0,-1,7.767725300301869e-8,test
134,891,363,89,263,135,602,822,759,107,0,0,1,1,0,0,0,0,0,0,0,467,150,197,193,266,206,893,834,456,153,0,1,0,0,0,0,0,0,0,0,0,-1,0.7437145951316099,test
732,855,167,236,316,654,747,916,724,130,0,1,0,0,0,0,0,0,0,0,0,374,14,303,136,293,68,747,775,551,165,0,1,0,1,0,0,0,0,0,0,0,-1,5.426661972566755e-4,test
682,652,272,0,223,445,732,995,791,65,0,1,0,0,0,0,0,0,0,1,0,607,178,106,0,223,529,893,889,523,138,1,0,0,0,0,0,1,0,0,0,0,-1,1.9088621461112982e-10,test
711,588,121,335,310,501,842,971,669,380,1,0,0,0,0,0,1,0,0,0,0,559,799,76,240,225,521,814,940,673,125,1,0,0,0,0,0,0,1,0,0,0,-1,5.0020656297175495e-11,test
516,413,242,21,226,452,940,932,480,212,1,0,0,0,0,0,0,1,0,0,0,710,991,76,434,329,166,834,909,614,239,0,0,0,0,0,0,0,0,0,0,0,-1,1.903464930374489e-8,test
609,339,136,265,243,51,928,916,500,216,0,1,0,0,0,0,0,0,0,1,0,638,139,106,339,303,264,881,885,535,359,0,1,0,0,0,0,0,0,0,1,0,-1,6.391590317460589e-7,test
664,169,151,516,329,140,897,865,488,263,1,0,0,0,0,0,0,1,0,0,0,555,316,151,30,230,347,936,905,480,66,1,0,0,0,0,0,0,0,1,0,0,-1,4.011079264232095e-10,train
609,402,167,86,249,963,928,936,519,415,1,0,0,0,0,0,0,0,1,0,0,360,386,288,21,223,160,964,909,421,719,1,0,0,0,0,0,0,0,0,0,0,-1,2.525595513358116e-6,test
653,691,151,193,285,165,783,971,735,110,0,1,0,0,0,0,0,0,0,1,0,644,746,182,354,318,157,735,960,771,140,0,1,0,0,0,0,1,0,0,0,0,-1,4.74469400093267e-8,train
438,339,45,258,259,299,885,932,578,845,1,0,0,0,1,0,0,0,0,0,0,497,669,212,48,244,102,755,987,771,24,0,1,0,0,0,0,1,0,0,0,0,-1,9.0275333342964975e-06,train
512,857,303,269,376,361,629,873,791,170,0,1,0,0,0,0,0,0,0,0,0,477,236,303,107,342,281,960,791,307,78,0,1,0,0,0,0,0,0,0,0,0,-1,0.007172220917393002,test
512,286,333,380,343,79,983,810,287,91,0,1,0,0,0,0,0,0,0,0,1,734,466,227,183,263,553,905,964,558,352,1,0,0,0,0,0,0,0,0,0,0,-1,7.869825009707528e-9,train
663,255,106,219,236,602,912,901,507,404,1,0,0,0,0,0,0,1,0,0,0,776,763,91,781,449,177,806,948,692,269,0,1,0,0,0,0,0,0,0,1,0,-1,7.663901482864808e-9,train
511,777,182,228,345,313,732,948,767,162,0,1,0,0,0,0,0,0,0,0,0,453,716,439,259,462,196,551,952,912,147,0,1,0,0,0,0,0,0,0,0,0,-1,0.027427017844570703,test
210,952,242,107,275,197,735,846,653,63,0,0,1,1,0,0,0,0,0,0,0,572,105,121,590,461,160,865,877,543,340,0,1,0,0,0,0,0,0,0,1,0,-1,0.22996917633656355,train
605,22,182,475,426,617,810,850,578,553,1,0,0,0,0,0,0,1,0,0,0,670,913,106,91,207,456,802,912,657,191,1,0,0,0,0,0,0,1,0,0,0,-1,1.7162855116244134e-10,test
769,841,288,817,604,554,645,893,794,354,0,1,0,0,0,0,0,0,0,0,0,609,94,106,0,223,153,861,885,558,147,0,1,0,0,0,0,1,0,0,0,0,-1,1.3269231792533241e-6,test
649,347,348,215,294,27,987,850,315,604,0,0,0,0,0,1,0,0,0,0,0,696,599,61,289,254,617,846,960,649,303,1,0,0,0,0,0,0,0,0,0,0,-1,7.117906728148069e-10,test
234,722,167,258,80,4,759,968,755,69,0,0,1,0,0,0,0,0,0,0,0,374,519,121,269,474,245,869,968,625,88,0,1,0,0,0,0,0,0,0,0,0,1,0.9728164570191973,test
719,447,136,43,234,666,905,952,566,72,1,0,0,0,0,0,0,1,0,0,0,704,838,45,547,430,855,830,936,649,368,1,0,0,0,0,0,0,1,0,0,0,-1,1.5196224294570065e-11,train
558,500,348,48,227,105,873,971,574,211,0,1,0,0,0,0,0,0,0,0,1,730,203,363,167,173,580,944,739,260,504,0,1,0,0,0,0,0,0,0,0,1,-1,1.4490847643766468e-9,train
711,305,272,21,240,797,975,857,362,107,1,0,0,0,0,0,0,0,0,0,0,514,888,182,21,237,381,747,901,704,179,0,1,0,0,0,0,0,0,0,0,1,-1,1.5759210545082195e-8,test
437,17,167,375,296,354,814,861,586,222,0,1,0,0,0,0,0,0,0,1,0,717,830,151,163,314,168,759,932,724,333,1,0,0,0,0,0,0,0,0,0,0,-1,5.0260100383906745e-8,train
636,458,167,137,240,305,905,960,562,290,0,1,0,0,0,0,0,0,0,1,0,564,14,167,152,243,366,810,861,590,30,1,0,0,0,0,0,0,1,0,0,0,-1,1.0519553006789906e-8,test
543,216,182,215,261,663,924,861,448,282,1,0,0,0,0,0,0,1,0,0,0,676,289,61,262,249,819,889,920,562,422,1,0,0,0,0,0,0,1,0,0,0,-1,9.451874779021724e-10,train
579,158,106,116,228,403,885,889,535,189,1,0,0,0,0,0,1,0,0,0,0,646,325,121,21,228,417,920,916,515,483,1,0,0,0,0,0,1,0,0,0,0,-1,8.048058085401244e-12,test
652,327,272,96,254,302,975,869,366,301,1,0,0,0,0,0,0,1,0,0,0,645,988,91,86,245,203,826,901,617,73,0,1,0,0,0,0,1,0,0,0,0,-1,1.6645601005102353e-9,test
529,932,333,251,358,400,653,806,688,239,0,1,0,0,0,0,0,0,0,0,1,463,278,212,96,252,398,956,861,401,30,0,1,0,1,0,0,0,0,0,0,0,-1,1.0366565422665494e-4,train
651,433,288,423,240,817,936,936,480,189,1,0,0,0,0,0,0,1,0,0,0,667,219,61,319,236,746,881,916,566,323,1,0,0,0,0,1,0,0,0,0,0,-1,3.0933073262708225e-10,test
608,405,136,116,225,595,916,940,543,111,1,0,0,0,0,0,0,1,0,0,0,745,42,106,346,254,105,842,889,586,297,0,1,0,0,0,0,0,0,0,0,0,-1,1.0962158927974289e-8,test
468,178,182,21,231,298,909,846,448,292,0,1,0,0,0,0,1,0,0,0,0,590,974,121,30,227,179,810,893,625,336,1,0,0,0,0,0,0,1,0,0,0,-1,5.739050083221971e-8,train
615,369,257,77,253,232,964,901,417,349,1,0,0,0,0,0,0,1,0,0,0,240,816,227,204,231,17,700,928,775,100,0,0,1,0,0,0,0,0,0,0,0,-1,9.58796429314581e-5,train
569,228,106,64,232,757,905,897,519,678,1,0,0,0,0,0,0,1,0,0,0,541,810,182,107,257,411,732,936,751,194,0,1,0,0,0,0,0,0,0,0,0,-1,2.6068554215331856e-6,train
527,253,227,68,253,454,952,846,389,260,1,0,0,0,0,0,0,0,1,0,0,730,286,212,107,270,334,956,869,405,373,1,0,0,0,0,0,0,0,0,0,0,-1,8.525943192812348e-10,test
600,0,106,183,243,726,826,893,610,356,1,0,0,0,0,1,0,0,0,0,0,468,136,136,167,244,395,881,869,515,318,1,0,0,0,1,0,0,0,0,0,0,-1,4.801051578949276e-9,train
788,67,151,566,426,310,846,857,547,210,1,0,0,0,0,0,0,0,0,0,0,722,930,212,96,259,81,739,869,676,137,0,0,0,0,0,0,0,0,0,1,0,-1,2.3245483426013836e-11,test
739,458,288,136,276,180,916,956,519,145,1,0,0,0,0,0,0,0,0,0,0,703,44,212,130,249,855,818,830,543,55,1,0,0,0,0,1,0,0,0,0,0,-1,4.302204697686546e-12,test
647,278,167,339,352,72,936,885,456,101,0,1,0,0,0,0,0,0,0,1,0,518,916,303,129,327,104,665,834,708,266,0,1,0,0,0,0,0,0,0,0,0,-1,1.3350240657347834e-6,test
